0.91	0.29
2.02	0.30
0.97	0.32
0.10	0.32
0.08	0.32
0.16	0.32
0.15	0.32
0.08	0.32
0.08	0.32
0.15	0.30
1.46	0.28
4.65	0.31
1.38	0.30
1.17	0.29
0.19	0.29
0.36	0.29
0.39	0.29
0.53	0.29
0.33	0.29
0.08	0.30
0.09	0.31
1.44	0.31
3.60	0.31
3.75	0.31
1.21	0.30
1.61	0.31
0.26	0.31
0.91	0.31
0.76	0.31
0.33	0.33
0.07	0.33
0.37	0.34
0.22	0.33
1.15	0.32
1.18	0.30
1.74	0.30
2.91	0.30
0.89	0.32
1.67	0.33
0.76	0.33
0.76	0.33
0.85	0.33
0.74	0.33
1.77	0.33
0.71	0.37
2.32	0.38
1.65	0.33
2.74	0.31
2.95	0.31
1.72	0.32
0.72	0.32
0.99	0.32
0.62	0.33
0.15	0.33
0.62	0.33
0.18	0.33
0.44	0.33
1.06	0.33
2.51	0.31
3.09	0.32
1.52	0.31
1.59	0.31
0.59	0.31
0.55	0.31
0.43	0.33
0.27	0.33
0.41	0.33
0.79	0.34
0.80	0.35
0.35	0.32
1.92	0.30
1.74	0.30
1.33	0.28
1.28	0.29
1.73	0.30
0.43	0.31
0.32	0.31
0.85	0.31
0.38	0.31
0.67	0.32
0.38	0.35
0.58	0.33
0.35	0.30
0.79	0.28
0.91	0.28
1.15	0.28
0.68	0.29
0.40	0.29
1.11	0.29
1.17	0.29
0.46	0.29
0.56	0.29
0.55	0.35
1.21	0.33
1.69	0.30
1.74	0.30
2.21	0.30
1.28	0.31
0.69	0.31
0.55	0.32
0.41	0.32
0.41	0.32
0.62	0.32
0.41	0.32
0.48	0.34
0.93	0.31
2.06	0.30
3.56	0.30
1.27	0.30
1.06	0.29
0.60	0.30
1.30	0.29
0.48	0.30
0.35	0.30
0.63	0.30
0.86	0.30
0.54	0.34
1.39	0.33
0.69	0.29
2.28	0.29
2.08	0.30
2.64	0.32
0.95	0.34
1.01	0.35
0.53	0.35
0.54	0.35
0.62	0.35
0.37	0.35
0.55	0.37
0.48	0.35
2.32	0.32
0.90	0.29
1.95	0.29
1.84	0.30
1.26	0.32
0.96	0.33
0.90	0.33
0.88	0.33
0.32	0.34
0.70	0.34
0.63	0.37
0.37	0.35
2.49	0.32
2.51	0.32
1.46	0.30
1.60	0.30
0.90	0.31
0.89	0.31
0.46	0.31
0.81	0.31
0.25	0.31
0.23	0.34
0.68	0.34
1.01	0.32
0.60	0.29
1.62	0.28
1.49	0.28
0.74	0.29
0.92	0.30
0.40	0.30
1.12	0.30
0.72	0.30
0.74	0.31
0.27	0.31
0.13	0.34
0.13	0.32
0.88	0.28
2.73	0.29
2.50	0.30
0.41	0.30
0.51	0.30
0.66	0.30
0.61	0.31
0.59	0.31
0.15	0.31
0.77	0.32
0.74	0.34
1.22	0.32
1.48	0.30
1.90	0.29
2.32	0.29
1.65	0.31
1.72	0.31
1.15	0.31
0.26	0.31
